,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,- V EUR,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,- V EUR
31.,156 ,OBČINA DOBROVNIK,"344.644,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","342.048,85 ","0,00 ","342.048,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.595,50 ","2.595,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","244.814,21 ","38.475,66 ","0,00 ","38.475,66 ","0,00 ","0,00 ","0,00 ","0,00 ","2.086,46 ","0,00 ","0,00 ","2.086,46 ","63.248,69 ","63.248,69 ","0,00 ","0,00 ","0,00 ","117.136,45 ","117.136,45 ","23.866,95 ","23.866,95 ","0,00 ","0,00 ","141.959,43 ","0,00 ","0,00 ","141.959,43 ","141.959,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.444,88 ","0,00 ","0,00 ","0,00 ","0,00 ","3.818,95 ","3.818,95 ","625,93 ","625,93 ","834,59 ","0,00 ","0,00 ","834,59 ","834,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","736.697,46 "
32.,22 ,OBČINA DOL PRI LJUBLJANI,"37.153,45 ","32.981,45 ","32.981,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.172,00 ","4.172,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","18.609,60 ","18.609,60 ","18.609,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","935.951,31 ","158.018,53 ","158.018,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","771.611,42 ","771.611,42 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.321,36 ","6.321,36 ","605,71 ","605,71 ","605,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","149.552,51 ","0,00 ","0,00 ","10.029,76 ","10.029,76 ","99.292,34 ","99.292,34 ","40.230,41 ","40.230,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.176,40 ","0,00 ","0,00 ","3.176,40 ","3.176,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","215.594,00 ","215.594,00 ","9.148,65 ","206.445,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.000,00 ","5.000,00 ","0,00 ","0,00 ","1.365.642,98 "
33.,157 ,OBČINA DOLENJSKE TOPLICE,"6.195,00 ","2.913,00 ","2.913,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.282,00 ","0,00 ","3.282,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.458,00 ","6.458,00 ","6.458,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","258.472,00 ","13.005,00 ","13.005,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","244.261,00 ","244.261,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.206,00 ","1.206,00 ","30.865,00 ","0,00 ","0,00 ","28.350,00 ","28.350,00 ","2.515,00 ","2.515,00 ","0,00 ","0,00 ","0,00 ","0,00 ","191.291,00 ","24.152,00 ","24.152,00 ","49.843,00 ","49.843,00 ","117.296,00 ","117.296,00 ","0,00 ","0,00 ","4.353,00 ","0,00 ","0,00 ","4.353,00 ","4.353,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","864.570,00 ","0,00 ","0,00 ","864.570,00 ","864.570,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.362.204,00 "
34.,23 ,OBČINA DOMŽALE,"680.225,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","680.225,00 ","0,00 ","680.225,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.205,00 ","11.205,00 ","11.205,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","985.263,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","975.127,00 ","975.127,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.136,00 ","10.136,00 ","543.868,00 ","0,00 ","0,00 ","541.274,00 ","541.274,00 ","2.594,00 ","2.594,00 ","0,00 ","0,00 ","0,00 ","0,00 ","701.666,00 ","456.901,00 ","456.901,00 ","60.713,00 ","60.713,00 ","109.398,00 ","109.398,00 ","74.654,00 ","74.654,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","116.439,00 ","93.184,00 ","93.184,00 ","23.255,00 ","23.255,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.635.255,00 ","1.635.255,00 ","351.017,00 ","1.284.238,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.673.921,00 "
35.,24 ,OBČINA DORNAVA,"204.477,93 ","29.863,37 ","29.863,37 ","0,00 ","0,00 ","0,00 ","0,00 ","174.614,56 ","0,00 ","174.614,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","158.606,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","157.528,69 ","157.528,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.078,00 ","1.078,00 ","637.939,37 ","0,00 ","0,00 ","637.939,37 ","637.939,37 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","62.013,48 ","0,00 ","0,00 ","62.013,48 ","62.013,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","61.680,06 ","61.680,06 ","0,00 ","61.680,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.124.717,53 "
36.,25 ,OBČINA DRAVOGRAD,"201.046,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","201.046,48 ","0,00 ","201.046,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","657,23 ","657,23 ","657,23 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.067.683,93 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.050.568,38 ","1.050.568,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.115,55 ","17.115,55 ","1.146.244,77 ","5.465,51 ","5.465,51 ","1.140.779,26 ","1.140.779,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","331.406,47 ","201.000,07 ","201.000,07 ","1.528,24 ","1.528,24 ","68.574,17 ","68.574,17 ","60.303,99 ","60.303,99 ","65.278,80 ","0,00 ","0,00 ","65.278,80 ","65.278,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","30.850,07 ","18.585,89 ","18.585,89 ","12.264,18 ","12.264,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","379.955,71 ","379.955,71 ","0,00 ","379.955,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.223.123,46 "
37.,26 ,OBČINA DUPLEK,"77.549,37 ","1.504,08 ","1.504,08 ","0,00 ","0,00 ","0,00 ","0,00 ","76.045,29 ","0,00 ","76.045,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.530,00 ","4.530,00 ","4.530,00 ","0,00 ","0,00 ","324.965,99 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","313.193,69 ","313.193,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.772,30 ","11.772,30 ","338.050,71 ","0,00 ","0,00 ","338.050,71 ","338.050,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","34.065,31 ","22.322,70 ","22.322,70 ","0,00 ","0,00 ","11.742,61 ","11.742,61 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","107.113,73 ","0,00 ","0,00 ","107.113,73 ","107.113,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","344.872,66 ","344.872,66 ","0,00 ","344.872,66 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.231.147,77 "
38.,27 ,OBČINA GORENJA VAS-POLJANE,"231.594,00 ","3.247,00 ","3.247,00 ","0,00 ","0,00 ","0,00 ","0,00 ","228.260,00 ","0,00 ","228.260,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","87,00 ","87,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.132.151,00 ","0,00 ","0,00 ","0,00 ","31.305,00 ","0,00 ","31.305,00 ","0,00 ","494.074,00 ","0,00 ","82.939,00 ","411.135,00 ","1.405.730,00 ","1.405.730,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","26.286,00 ","26.286,00 ","174.756,00 ","174.756,00 ","530.097,00 ","153.257,00 ","153.257,00 ","376.840,00 ","376.840,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","312.177,00 ","992,00 ","992,00 ","9.920,00 ","9.920,00 ","243.333,00 ","243.333,00 ","57.932,00 ","57.932,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","303.424,00 ","4.733,00 ","4.733,00 ","298.691,00 ","298.691,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.875.323,00 ","1.875.323,00 ","3.998,00 ","1.871.325,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","275.187,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","275.187,00 ","275.187,00 ","5.659.953,00 "
39.,28 ,OBČINA GORIŠNICA,"42.247,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","42.247,52 ","0,00 ","42.247,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.210,50 ","0,00 ","0,00 ","2.210,50 ","2.210,50 ","1.985.342,83 ","593.250,29 ","593.250,29 ","0,00 ","10.320,77 ","10.320,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.347.682,31 ","1.347.682,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.420,81 ","12.420,81 ","21.668,65 ","21.668,65 ","59.489,32 ","9.437,60 ","9.437,60 ","50.051,72 ","50.051,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","74.058,38 ","0,00 ","0,00 ","27.870,93 ","27.870,93 ","22.945,56 ","22.945,56 ","23.241,89 ","23.241,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","25.607,36 ","0,00 ","0,00 ","25.607,36 ","25.607,36 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","25.961,58 ","25.961,58 ","25.905,99 ","55,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","989,28 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","989,28 ","989,28 ","0,00 ","0,00 ","2.215.906,77 "
40.,207 ,OBČINA GORJE,"13.258,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.958,57 ","0,00 ","12.958,57 ","0,00 ","0,00 ","300,00 ","300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","170.243,02 ","314,64 ","314,64 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.712,07 ","23.712,07 ","0,00 ","0,00 ","0,00 ","9.055,57 ","9.055,57 ","137.160,74 ","137.160,74 ","0,00 ","0,00 ","65.117,67 ","53.458,49 ","53.458,49 ","11.659,18 ","11.659,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","18.567,86 ","21,78 ","21,78 ","2.093,57 ","2.093,57 ","16.452,51 ","16.452,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.258,99 ","0,00 ","0,00 ","4.258,99 ","4.258,99 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.249,87 ","1.249,87 ","0,00 ","1.249,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","272.695,98 "
41.,29 ,OBČINA GORNJA RADGONA,"124.258,28 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","124.258,28 ","0,00 ","124.258,28 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.701,40 ","3.701,40 ","3.701,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","638.517,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","399.002,33 ","399.002,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","239.515,27 ","239.515,27 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","370.886,44 ","156.090,39 ","156.090,39 ","214.796,05 ","214.796,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","334.444,91 ","74.164,36 ","74.164,36 ","260.280,55 ","260.280,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","197.841,45 ","197.841,45 ","19.769,83 ","178.071,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.669.650,08 "
42.,30 ,OBČINA GORNJI GRAD,"2.465,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.465,19 ","0,00 ","2.465,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","194.125,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.942,00 ","0,00 ","0,00 ","6.942,00 ","182.733,31 ","182.733,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.450,42 ","4.450,42 ","52.504,56 ","19.537,01 ","19.537,01 ","32.967,55 ","32.967,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","200.447,09 ","104.323,15 ","104.323,15 ","68.080,13 ","68.080,13 ","20.949,37 ","20.949,37 ","7.094,44 ","7.094,44 ","19.176,10 ","0,00 ","0,00 ","19.176,10 ","19.176,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.200,00 ","1.200,00 ","0,00 ","1.200,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","469.918,67 "
43.,31 ,OBČINA GORNJI PETROVCI,"75.647,03 ","75.647,03 ","75.647,03 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","184.515,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","102.215,96 ","102.215,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.070,22 ","10.070,22 ","72.229,38 ","72.229,38 ","4.000,08 ","0,00 ","0,00 ","4.000,08 ","4.000,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","119.288,67 ","0,00 ","0,00 ","4.055,54 ","4.055,54 ","115.233,13 ","115.233,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","131.100,59 ","26.021,99 ","26.021,99 ","103.644,16 ","103.644,16 ","1.434,44 ","1.434,44 ","0,00 ","0,00 ","0,00 ","0,00 ","449.047,09 ","449.047,09 ","357.086,07 ","91.961,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","963.599,02 "
44.,158 ,OBČINA GRAD,"26.197,94 ","3.795,90 ","3.795,90 ","0,00 ","0,00 ","0,00 ","0,00 ","22.402,04 ","0,00 ","22.402,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","340.696,73 ","86.074,52 ","86.074,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","218.538,52 ","218.538,52 ","0,00 ","0,00 ","0,00 ","5.982,18 ","5.982,18 ","1.611,60 ","1.611,60 ","28.489,91 ","28.489,91 ","22.660,32 ","0,00 ","0,00 ","22.660,32 ","22.660,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","701.343,13 ","0,00 ","0,00 ","0,00 ","0,00 ","701.343,13 ","701.343,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","39.820,42 ","14.420,40 ","14.420,40 ","25.400,02 ","25.400,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.130.718,54 "
45.,32 ,OBČINA GROSUPLJE,"713.900,00 ","14.895,00 ","14.895,00 ","0,00 ","0,00 ","0,00 ","0,00 ","699.005,00 ","0,00 ","699.005,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.330,00 ","14.330,00 ","14.330,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","979.492,00 ","0,00 ","0,00 ","0,00 ","53.388,00 ","24.383,00 ","29.005,00 ","0,00 ","44.067,00 ","0,00 ","41.988,00 ","2.079,00 ","687.496,00 ","687.496,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.938,00 ","11.938,00 ","182.603,00 ","182.603,00 ","91.978,00 ","0,00 ","0,00 ","91.978,00 ","91.978,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","303.214,00 ","65.704,00 ","65.704,00 ","136.578,00 ","136.578,00 ","22.127,00 ","22.127,00 ","78.805,00 ","78.805,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","671.814,00 ","1.600,00 ","1.600,00 ","670.214,00 ","670.214,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.146.485,00 ","1.146.485,00 ","21.513,00 ","1.124.972,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.921.213,00 "
46.,159 ,OBČINA HAJDINA,"97.209,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","96.877,00 ","0,00 ","96.877,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","332,00 ","332,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","246.349,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","233.376,00 ","233.376,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.973,00 ","12.973,00 ","41.220,00 ","7.370,00 ","7.370,00 ","33.850,00 ","33.850,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","74.080,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","74.080,00 ","74.080,00 ","59.520,00 ","0,00 ","0,00 ","59.520,00 ","59.520,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.031,00 ","874,00 ","874,00 ","1.157,00 ","1.157,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.660,00 ","3.660,00 ","3.660,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","524.069,00 "
